Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
schunk_base_link,-0.0063124,-0.023292,0.07766,0,0,0,0.00053706,2.7117E-07,1.6255E-10,1.4401E-09,8.1505E-07,-4.6953E-10,7.4795E-07,0,0,0,0,0,0,package://uppershell_gripper/meshes/schunk_base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://uppershell_gripper/meshes/schunk_base_link.STL,,SCHUNK_0371453_PGN_plus_125_2_AS__000-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
scraper_link,-1.4954E-08,0.008625,-0.0088599,0,0,0,0.15272,2.0791E-05,3.4294E-11,2.7422E-11,2.8069E-05,-3.0296E-07,1.9918E-05,0,0,0,0,0,0,package://uppershell_gripper/meshes/scraper_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://uppershell_gripper/meshes/scraper_link.STL,,Scraper FINAL-1;Short Bracket FINAL-1;SCHUNK_0371453_PGN_plus_125_2_AS__000_5-3,Origin_scraper_joint,,scraper_joint,prismatic,-0.039301,-0.077913,0.035164,3.1416,0,-1.5708,schunk_base_link,0,1,0,10,100,0.1,0.1,,,,,,,,
long_bracket_link,-8.5813E-09,0.04454,0.014987,0,0,0,0.3177,0.00021945,3.8799E-11,-2.4923E-11,0.00018897,6.6364E-05,5.3885E-05,0,0,0,0,0,0,package://uppershell_gripper/meshes/long_bracket_link.STL,1,0,0,1,0,0,0,0,0,0,package://uppershell_gripper/meshes/long_bracket_link.STL,,SCHUNK_0371453_PGN_plus_125_2_AS__000_5-2;Long Bracket FINAL-1,Origin_long_bracket_joint,,long_bracket_joint,prismatic,-0.005601,-0.077913,0.00026396,1.5708,0,1.5708,schunk_base_link,0,0,1,10,100,0.1,0.1,,,,,,,,
